Goal,Legs,Chest,Arms,Back,Full Body,Lifts,Reps
0,0,1,1,0,0,Incline Press;Tricep Extension;Calf Raise;Cable Row;Burpees,8
0,0,0,0,1,0,Row;Incline Press;Hammer Curl;Running;Calf Raise,14
1,0,0,0,1,0,Row;Hammer Curl;Clean and Press;Bench Press;Squat,5
0,1,0,1,1,1,Leg Press;Bicep Curl;Cable Row;Clean and Press;Chest Press,11
0,0,0,0,1,1,Lat Pulldown;Running;Chest Press;Lunges;Dumbbell Curl,14
0,0,1,1,0,1,Pec Deck;Dumbbell Curl;Burpees;Pull-Ups;Leg Press,8
1,1,0,1,1,1,Squat;Dumbbell Curl;Cable Row;Clean and Press;Incline Press,6
0,0,0,0,1,1,Row;Clean and Press;Dumbbell Curl;Chest Press;Calf Raise,14
0,0,0,0,1,0,Row;Squat;Hammer Curl;Deadlift;Push-Ups,12
0,1,0,0,1,0,Lunges;Pull-Ups;Clean and Press;Hammer Curl;Bench Press,12
1,0,0,1,1,0,Dumbbell Curl;Lat Pulldown;Calf Raise;Bench Press;Clean and Press,5
0,1,1,0,0,1,Squat;Pec Deck;Running;Tricep Extension;Pull-Ups,11
1,1,0,0,1,0,Leg Press;Pull-Ups;Tricep Extension;Bench Press;Deadlift,5
1,0,0,1,0,1,Tricep Extension;Burpees;Lat Pulldown;Leg Press;Bench Press,6
0,0,0,1,1,1,Bicep Curl;Row;Clean and Press;Chest Press;Squat,8
1,0,0,0,1,0,Cable Row;Pec Deck;Leg Curls;Clean and Press;Bicep Curl,5
0,0,1,1,0,0,Chest Press;Tricep Extension;Deadlift;Leg Curls;Lat Pulldown,10
1,0,0,0,1,1,Row;Burpees;Tricep Extension;Squat;Push-Ups,6
0,1,1,0,0,0,Squat;Pec Deck;Burpees;Lat Pulldown;Bicep Curl,9
0,0,0,1,0,0,Tricep Extension;Lunges;Pull-Ups;Push-Ups;Burpees,10
0,0,0,0,1,1,Row;Deadlift;Calf Raise;Tricep Extension;Bench Press,14
1,0,0,1,1,0,Hammer Curl;Cable Row;Chest Press;Squat;Clean and Press,4
0,1,0,0,0,1,Leg Curls;Running;Bench Press;Lat Pulldown;Bicep Curl,9
1,0,1,0,0,1,Push-Ups;Running;Hammer Curl;Leg Press;Pull-Ups,6
0,1,0,1,1,0,Calf Raise;Dumbbell Curl;Pull-Ups;Bench Press;Burpees,9
0,1,0,0,0,0,Leg Press;Push-Ups;Bicep Curl;Cable Row;Deadlift,10
0,0,1,1,0,1,Bench Press;Tricep Extension;Burpees;Cable Row;Lunges,9
0,1,0,1,1,1,Squat;Hammer Curl;Lat Pulldown;Running;Push-Ups,13
0,1,1,0,0,1,Leg Curls;Incline Press;Running;Lat Pulldown;Tricep Extension,11
1,1,1,0,1,1,Lunges;Push-Ups;Row;Deadlift;Hammer Curl,6
1,1,0,0,0,0,Leg Curls;Burpees;Dumbbell Curl;Cable Row;Push-Ups,6
0,0,1,0,1,0,Bench Press;Cable Row;Clean and Press;Lunges;Dumbbell Curl,10
0,1,0,0,1,0,Lunges;Cable Row;Incline Press;Burpees;Bicep Curl,12
1,1,1,1,0,0,Squat;Pec Deck;Tricep Extension;Clean and Press;Cable Row,6
1,1,1,0,1,1,Calf Raise;Bench Press;Lat Pulldown;Clean and Press;Hammer Curl,5
0,1,0,1,0,0,Calf Raise;Hammer Curl;Row;Bench Press;Running,10
0,0,0,1,0,1,Bicep Curl;Burpees;Incline Press;Cable Row;Leg Curls,13
0,0,0,1,1,1,Hammer Curl;Row;Clean and Press;Push-Ups;Leg Press,14
1,0,0,1,1,1,Dumbbell Curl;Lat Pulldown;Running;Squat;Bench Press,5
1,0,0,1,1,0,Dumbbell Curl;Cable Row;Deadlift;Squat;Pec Deck,4
0,1,0,0,0,1,Leg Curls;Running;Bicep Curl;Pec Deck;Pull-Ups,14
0,1,1,0,1,0,Calf Raise;Pec Deck;Row;Clean and Press;Bicep Curl,8
0,1,1,1,1,0,Calf Raise;Chest Press;Bicep Curl;Lat Pulldown;Deadlift,11
0,1,0,1,1,0,Calf Raise;Tricep Extension;Row;Deadlift;Pec Deck,9
0,1,1,1,0,0,Lunges;Incline Press;Tricep Extension;Lat Pulldown;Running,14
0,1,0,0,1,1,Lunges;Cable Row;Deadlift;Hammer Curl;Bench Press,10
0,1,1,1,1,0,Calf Raise;Pec Deck;Hammer Curl;Row;Clean and Press,13
1,0,0,1,0,1,Hammer Curl;Running;Pec Deck;Pull-Ups;Leg Curls,4
1,1,0,0,1,1,Leg Press;Row;Burpees;Dumbbell Curl;Bench Press,6
0,1,1,0,0,1,Calf Raise;Push-Ups;Running;Cable Row;Tricep Extension,12
1,1,0,1,0,0,Lunges;Hammer Curl;Burpees;Push-Ups;Cable Row,4
1,1,0,1,0,1,Calf Raise;Hammer Curl;Deadlift;Lat Pulldown;Bench Press,6
1,1,0,1,0,0,Leg Press;Tricep Extension;Pull-Ups;Pec Deck;Burpees,5
0,1,1,1,1,1,Lunges;Incline Press;Dumbbell Curl;Cable Row;Burpees,10
1,0,1,1,0,1,Chest Press;Dumbbell Curl;Burpees;Squat;Pull-Ups,6
0,0,1,0,1,0,Incline Press;Lat Pulldown;Running;Lunges;Bicep Curl,9
0,0,0,1,0,0,Hammer Curl;Clean and Press;Chest Press;Cable Row;Lunges,12
0,1,0,0,1,0,Calf Raise;Cable Row;Chest Press;Dumbbell Curl;Burpees,12
1,1,0,1,1,0,Calf Raise;Bicep Curl;Lat Pulldown;Pec Deck;Clean and Press,4
1,1,0,1,1,0,Lunges;Dumbbell Curl;Lat Pulldown;Burpees;Incline Press,6
1,0,1,1,0,0,Push-Ups;Hammer Curl;Calf Raise;Deadlift;Lat Pulldown,4
1,0,1,1,1,0,Chest Press;Tricep Extension;Cable Row;Calf Raise;Burpees,5
1,0,0,0,1,1,Lat Pulldown;Deadlift;Pec Deck;Calf Raise;Bicep Curl,5
1,1,0,0,0,1,Squat;Running;Cable Row;Tricep Extension;Push-Ups,6
1,0,0,0,0,0,Leg Press;Cable Row;Bench Press;Tricep Extension;Running,4
0,0,1,0,0,1,Incline Press;Running;Hammer Curl;Squat;Row,9
0,1,1,0,0,0,Leg Curls;Incline Press;Row;Burpees;Dumbbell Curl,8
0,1,1,1,1,0,Calf Raise;Incline Press;Tricep Extension;Cable Row;Burpees,12
0,1,1,0,0,1,Calf Raise;Push-Ups;Clean and Press;Bicep Curl;Lat Pulldown,14
0,0,1,0,1,0,Pec Deck;Cable Row;Leg Press;Dumbbell Curl;Clean and Press,9
1,1,1,0,0,1,Leg Press;Push-Ups;Deadlift;Dumbbell Curl;Pull-Ups,4
0,1,1,1,1,0,Squat;Pec Deck;Tricep Extension;Cable Row;Clean and Press,9
0,0,0,1,0,1,Tricep Extension;Running;Lunges;Pec Deck;Lat Pulldown,12
1,0,1,0,1,1,Incline Press;Cable Row;Running;Leg Press;Tricep Extension,4
0,1,0,1,1,0,Leg Press;Bicep Curl;Pull-Ups;Deadlift;Incline Press,11
1,1,1,1,0,0,Leg Press;Pec Deck;Tricep Extension;Clean and Press;Row,5
1,0,1,1,0,1,Pec Deck;Bicep Curl;Deadlift;Lat Pulldown;Calf Raise,5
0,0,1,0,0,0,Bench Press;Running;Cable Row;Tricep Extension;Leg Press,14
0,1,1,0,0,0,Leg Press;Push-Ups;Lat Pulldown;Deadlift;Dumbbell Curl,10
0,0,1,0,1,1,Pec Deck;Row;Deadlift;Hammer Curl;Lunges,11
0,0,1,1,1,0,Bench Press;Dumbbell Curl;Pull-Ups;Burpees;Leg Press,14
1,0,1,1,1,0,Pec Deck;Dumbbell Curl;Row;Burpees;Calf Raise,5
0,1,0,0,1,1,Calf Raise;Cable Row;Burpees;Push-Ups;Hammer Curl,10
1,0,0,1,0,0,Dumbbell Curl;Chest Press;Squat;Burpees;Lat Pulldown,4
1,0,0,1,0,1,Bicep Curl;Clean and Press;Chest Press;Leg Press;Row,4
1,0,0,1,1,1,Dumbbell Curl;Pull-Ups;Deadlift;Push-Ups;Leg Curls,5
1,1,0,0,0,1,Squat;Deadlift;Lat Pulldown;Hammer Curl;Incline Press,6
0,1,1,0,0,0,Leg Press;Bench Press;Tricep Extension;Deadlift;Row,14
1,0,1,0,0,0,Incline Press;Cable Row;Deadlift;Tricep Extension;Leg Press,6
1,0,0,0,1,0,Cable Row;Dumbbell Curl;Bench Press;Calf Raise;Running,4
1,1,0,1,0,0,Leg Curls;Bicep Curl;Push-Ups;Row;Running,4
1,0,0,0,0,0,Pec Deck;Deadlift;Hammer Curl;Leg Curls;Row,4
1,1,0,1,1,0,Squat;Tricep Extension;Row;Incline Press;Running,6
0,0,0,0,1,1,Lat Pulldown;Clean and Press;Tricep Extension;Pec Deck;Calf Raise,8
1,0,0,1,1,1,Dumbbell Curl;Row;Running;Leg Press;Incline Press,4
0,0,0,0,1,0,Lat Pulldown;Tricep Extension;Pec Deck;Squat;Deadlift,9
0,0,0,1,0,1,Tricep Extension;Deadlift;Lat Pulldown;Squat;Incline Press,10
0,1,1,0,0,0,Squat;Pec Deck;Deadlift;Cable Row;Bicep Curl,12
0,1,0,1,0,0,Leg Press;Tricep Extension;Row;Running;Bench Press,11
0,1,0,1,1,0,Leg Curls;Bicep Curl;Pull-Ups;Deadlift;Bench Press,8
0,0,0,0,1,0,Lat Pulldown;Leg Press;Hammer Curl;Burpees;Bench Press,12
0,1,1,0,1,1,Calf Raise;Push-Ups;Pull-Ups;Clean and Press;Dumbbell Curl,13
1,0,1,0,1,0,Incline Press;Pull-Ups;Calf Raise;Hammer Curl;Deadlift,5
1,1,0,0,1,1,Calf Raise;Pull-Ups;Burpees;Pec Deck;Tricep Extension,4
0,1,1,0,1,1,Squat;Bench Press;Pull-Ups;Clean and Press;Bicep Curl,13
0,0,0,1,1,1,Bicep Curl;Lat Pulldown;Clean and Press;Squat;Pec Deck,14
0,0,1,1,0,1,Chest Press;Bicep Curl;Clean and Press;Lat Pulldown;Calf Raise,8
0,0,1,0,1,0,Bench Press;Pull-Ups;Leg Press;Bicep Curl;Clean and Press,10
0,0,0,0,0,0,Burpees;Bench Press;Lat Pulldown;Leg Press;Tricep Extension,11
0,1,1,0,0,0,Leg Press;Pec Deck;Cable Row;Clean and Press;Bicep Curl,13
1,0,0,1,0,0,Tricep Extension;Chest Press;Squat;Burpees;Pull-Ups,6
1,0,1,0,0,0,Pec Deck;Tricep Extension;Cable Row;Lunges;Running,4
0,0,0,1,0,1,Hammer Curl;Running;Lunges;Push-Ups;Row,9
1,0,0,0,0,0,Dumbbell Curl;Incline Press;Leg Press;Pull-Ups;Clean and Press,6
1,1,1,1,1,0,Lunges;Pec Deck;Hammer Curl;Cable Row;Running,6
0,1,0,1,0,0,Lunges;Tricep Extension;Burpees;Push-Ups;Lat Pulldown,11
1,1,0,1,0,1,Leg Curls;Tricep Extension;Running;Chest Press;Cable Row,5
0,0,1,0,1,0,Incline Press;Lat Pulldown;Clean and Press;Leg Curls;Hammer Curl,9
1,1,0,1,0,1,Leg Curls;Bicep Curl;Clean and Press;Bench Press;Row,5
1,0,1,0,1,1,Push-Ups;Row;Deadlift;Calf Raise;Hammer Curl,5
0,0,1,0,1,0,Chest Press;Cable Row;Leg Curls;Hammer Curl;Clean and Press,14
1,1,0,0,0,1,Calf Raise;Running;Cable Row;Incline Press;Bicep Curl,6
0,0,1,0,1,1,Bench Press;Pull-Ups;Running;Lunges;Hammer Curl,8
0,0,1,0,0,0,Chest Press;Dumbbell Curl;Lunges;Burpees;Pull-Ups,12
0,0,0,0,1,0,Pull-Ups;Squat;Bench Press;Bicep Curl;Burpees,10
1,0,1,1,0,0,Pec Deck;Bicep Curl;Pull-Ups;Burpees;Leg Press,6
1,0,0,1,0,1,Bicep Curl;Running;Leg Curls;Bench Press;Pull-Ups,4
1,1,0,0,1,0,Leg Press;Cable Row;Tricep Extension;Deadlift;Bench Press,5
0,0,1,0,1,1,Pec Deck;Cable Row;Clean and Press;Bicep Curl;Lunges,11
1,0,1,0,0,1,Pec Deck;Clean and Press;Hammer Curl;Lat Pulldown;Leg Press,6
0,0,1,0,0,0,Push-Ups;Pull-Ups;Hammer Curl;Running;Squat,9
0,1,0,1,0,1,Squat;Bicep Curl;Clean and Press;Push-Ups;Lat Pulldown,10
1,1,0,1,0,0,Leg Press;Tricep Extension;Incline Press;Cable Row;Burpees,4
0,1,0,0,0,1,Leg Press;Clean and Press;Lat Pulldown;Tricep Extension;Bench Press,11
0,1,1,1,0,1,Leg Press;Bench Press;Tricep Extension;Burpees;Lat Pulldown,12
1,1,0,0,0,0,Calf Raise;Incline Press;Cable Row;Deadlift;Bicep Curl,4
1,1,0,1,0,0,Lunges;Hammer Curl;Cable Row;Incline Press;Clean and Press,5
1,1,1,0,1,1,Calf Raise;Bench Press;Lat Pulldown;Clean and Press;Dumbbell Curl,6
1,1,1,0,0,1,Leg Curls;Incline Press;Clean and Press;Tricep Extension;Lat Pulldown,4
0,1,1,0,0,1,Lunges;Incline Press;Burpees;Cable Row;Bicep Curl,9
1,1,0,0,0,1,Squat;Running;Incline Press;Hammer Curl;Pull-Ups,6
0,1,1,0,1,0,Leg Press;Chest Press;Pull-Ups;Bicep Curl;Running,11
1,0,0,1,0,0,Bicep Curl;Row;Leg Curls;Push-Ups;Running,5
0,0,0,0,1,1,Pull-Ups;Deadlift;Chest Press;Hammer Curl;Leg Curls,11
0,1,0,1,1,1,Calf Raise;Tricep Extension;Cable Row;Clean and Press;Bench Press,11
1,0,1,0,0,0,Bench Press;Calf Raise;Dumbbell Curl;Running;Pull-Ups,5
0,1,0,0,0,1,Calf Raise;Clean and Press;Hammer Curl;Incline Press;Row,8
1,0,1,0,1,0,Bench Press;Lat Pulldown;Deadlift;Lunges;Bicep Curl,5
1,1,1,1,1,1,Leg Curls;Chest Press;Tricep Extension;Pull-Ups;Clean and Press,5
1,1,1,1,1,1,Calf Raise;Chest Press;Tricep Extension;Row;Running,6
1,0,1,1,1,1,Incline Press;Dumbbell Curl;Lat Pulldown;Burpees;Lunges,6
1,1,0,1,1,1,Leg Press;Dumbbell Curl;Pull-Ups;Running;Incline Press,4
0,1,1,0,1,0,Lunges;Pec Deck;Lat Pulldown;Tricep Extension;Running,12
0,0,0,1,1,0,Tricep Extension;Pull-Ups;Chest Press;Burpees;Leg Curls,14
0,1,0,0,1,0,Squat;Lat Pulldown;Running;Tricep Extension;Incline Press,13
1,1,1,1,1,0,Lunges;Chest Press;Tricep Extension;Row;Clean and Press,4
1,1,1,1,1,1,Lunges;Push-Ups;Bicep Curl;Pull-Ups;Burpees,4
1,0,0,1,0,0,Tricep Extension;Pull-Ups;Leg Curls;Chest Press;Clean and Press,4
0,1,0,1,1,0,Squat;Hammer Curl;Pull-Ups;Burpees;Incline Press,13
0,1,0,1,1,0,Leg Curls;Bicep Curl;Row;Burpees;Chest Press,12
1,1,0,0,0,0,Lunges;Running;Lat Pulldown;Incline Press;Hammer Curl,5
0,0,0,1,0,1,Bicep Curl;Deadlift;Pull-Ups;Squat;Pec Deck,13
1,1,1,1,1,1,Squat;Pec Deck;Hammer Curl;Lat Pulldown;Clean and Press,6
0,0,0,1,0,1,Hammer Curl;Running;Pull-Ups;Squat;Pec Deck,9
0,1,0,0,1,0,Calf Raise;Row;Burpees;Dumbbell Curl;Push-Ups,12
0,0,1,0,0,0,Bench Press;Hammer Curl;Running;Leg Curls;Row,12
0,0,1,1,1,0,Pec Deck;Bicep Curl;Pull-Ups;Squat;Deadlift,13
0,1,0,1,0,0,Leg Curls;Dumbbell Curl;Chest Press;Pull-Ups;Burpees,8
1,0,1,1,1,0,Push-Ups;Bicep Curl;Lat Pulldown;Leg Curls;Running,6
1,0,0,1,0,0,Dumbbell Curl;Pull-Ups;Incline Press;Burpees;Leg Press,5
1,0,1,1,1,0,Chest Press;Tricep Extension;Pull-Ups;Leg Press;Clean and Press,5
1,0,0,0,1,1,Cable Row;Deadlift;Push-Ups;Dumbbell Curl;Calf Raise,6
1,1,1,0,1,1,Lunges;Chest Press;Pull-Ups;Running;Tricep Extension,6
0,1,1,0,0,0,Leg Press;Incline Press;Dumbbell Curl;Deadlift;Cable Row,12
1,1,0,1,0,0,Squat;Dumbbell Curl;Deadlift;Push-Ups;Pull-Ups,5
0,1,1,1,0,1,Squat;Push-Ups;Bicep Curl;Burpees;Pull-Ups,14
1,1,1,0,0,1,Calf Raise;Incline Press;Deadlift;Hammer Curl;Pull-Ups,5
0,0,1,0,1,0,Push-Ups;Row;Bicep Curl;Deadlift;Leg Press,13
1,1,1,1,0,0,Lunges;Bench Press;Bicep Curl;Cable Row;Clean and Press,6
0,0,1,1,0,1,Incline Press;Bicep Curl;Burpees;Lunges;Lat Pulldown,10
0,1,1,0,0,1,Leg Curls;Incline Press;Burpees;Row;Hammer Curl,12
0,0,0,0,0,1,Clean and Press;Tricep Extension;Lunges;Bench Press;Pull-Ups,8
0,0,1,1,0,0,Pec Deck;Hammer Curl;Running;Leg Press;Cable Row,14
0,0,1,0,1,0,Bench Press;Cable Row;Calf Raise;Tricep Extension;Clean and Press,13
1,0,0,1,1,1,Dumbbell Curl;Pull-Ups;Deadlift;Squat;Push-Ups,4
0,1,0,1,1,0,Lunges;Tricep Extension;Cable Row;Chest Press;Deadlift,12
1,0,0,1,0,0,Tricep Extension;Deadlift;Lat Pulldown;Bench Press;Calf Raise,4
0,0,1,0,1,1,Chest Press;Row;Running;Leg Press;Bicep Curl,11
0,1,0,1,1,1,Calf Raise;Dumbbell Curl;Pull-Ups;Deadlift;Bench Press,10
0,0,0,0,1,0,Cable Row;Burpees;Bicep Curl;Lunges;Pec Deck,10
1,1,0,1,0,1,Leg Curls;Tricep Extension;Clean and Press;Lat Pulldown;Push-Ups,4
0,0,1,0,0,1,Bench Press;Deadlift;Lunges;Bicep Curl;Pull-Ups,14
0,0,1,1,1,0,Chest Press;Hammer Curl;Cable Row;Burpees;Leg Press,10
1,0,0,0,1,1,Pull-Ups;Clean and Press;Hammer Curl;Bench Press;Leg Curls,4
1,0,1,0,1,1,Incline Press;Cable Row;Running;Tricep Extension;Squat,5
0,0,1,0,0,1,Bench Press;Deadlift;Bicep Curl;Squat;Cable Row,9
0,1,0,0,0,1,Leg Curls;Clean and Press;Push-Ups;Hammer Curl;Cable Row,8
1,0,1,1,0,1,Bench Press;Bicep Curl;Running;Lunges;Pull-Ups,6
0,0,0,1,0,0,Hammer Curl;Clean and Press;Calf Raise;Lat Pulldown;Bench Press,10
1,1,1,0,1,1,Leg Press;Bench Press;Row;Burpees;Hammer Curl,6
0,0,0,1,1,1,Dumbbell Curl;Cable Row;Deadlift;Pec Deck;Squat,14
1,1,0,0,1,0,Leg Press;Pull-Ups;Tricep Extension;Clean and Press;Incline Press,6
0,0,1,0,1,1,Chest Press;Cable Row;Burpees;Tricep Extension;Leg Press,14
0,0,1,1,0,1,Incline Press;Tricep Extension;Deadlift;Squat;Row,14
1,1,0,1,0,0,Leg Curls;Hammer Curl;Push-Ups;Cable Row;Deadlift,5
0,1,1,1,0,0,Leg Curls;Pec Deck;Dumbbell Curl;Lat Pulldown;Deadlift,14
1,0,1,1,1,0,Bench Press;Dumbbell Curl;Cable Row;Calf Raise;Burpees,6
1,1,1,1,1,0,Calf Raise;Incline Press;Bicep Curl;Pull-Ups;Running,6
1,1,0,0,1,1,Leg Curls;Row;Deadlift;Dumbbell Curl;Incline Press,6
0,1,0,1,0,0,Lunges;Bicep Curl;Deadlift;Push-Ups;Row,12
0,1,1,0,0,1,Leg Press;Pec Deck;Deadlift;Dumbbell Curl;Pull-Ups,8
0,0,0,0,1,0,Lat Pulldown;Tricep Extension;Incline Press;Leg Curls;Running,9
1,1,0,1,1,1,Leg Press;Hammer Curl;Cable Row;Deadlift;Push-Ups,6
0,1,1,1,0,1,Lunges;Chest Press;Dumbbell Curl;Running;Cable Row,10
0,1,0,0,1,1,Leg Curls;Lat Pulldown;Clean and Press;Incline Press;Tricep Extension,14
1,1,1,1,0,0,Calf Raise;Chest Press;Tricep Extension;Clean and Press;Lat Pulldown,4
1,0,1,0,1,0,Pec Deck;Row;Hammer Curl;Deadlift;Squat,5
1,0,0,0,0,1,Deadlift;Incline Press;Leg Curls;Pull-Ups;Dumbbell Curl,6
1,0,0,0,1,0,Lat Pulldown;Bicep Curl;Squat;Chest Press;Clean and Press,4
1,1,1,1,1,1,Lunges;Push-Ups;Hammer Curl;Cable Row;Running,6
1,1,0,0,1,0,Leg Curls;Lat Pulldown;Clean and Press;Dumbbell Curl;Chest Press,5
0,1,1,0,1,0,Calf Raise;Push-Ups;Lat Pulldown;Deadlift;Tricep Extension,8
0,1,1,0,1,1,Calf Raise;Pec Deck;Cable Row;Burpees;Hammer Curl,9
0,1,0,0,0,1,Lunges;Running;Dumbbell Curl;Lat Pulldown;Pec Deck,9
1,0,0,1,0,1,Dumbbell Curl;Burpees;Incline Press;Lat Pulldown;Calf Raise,6
0,0,1,0,1,1,Chest Press;Row;Deadlift;Lunges;Tricep Extension,8
1,1,1,1,1,0,Leg Curls;Pec Deck;Tricep Extension;Lat Pulldown;Burpees,4
0,1,1,1,1,1,Leg Curls;Incline Press;Hammer Curl;Lat Pulldown;Running,14
1,1,1,1,0,0,Lunges;Chest Press;Hammer Curl;Row;Running,5
1,0,1,0,0,0,Pec Deck;Hammer Curl;Calf Raise;Burpees;Row,5
0,1,0,1,0,1,Squat;Dumbbell Curl;Clean and Press;Lat Pulldown;Incline Press,12
0,0,1,0,0,1,Incline Press;Burpees;Cable Row;Hammer Curl;Leg Curls,11
1,1,1,0,1,1,Leg Curls;Push-Ups;Cable Row;Clean and Press;Bicep Curl,6
0,0,0,0,0,1,Burpees;Bicep Curl;Cable Row;Leg Press;Push-Ups,8
0,0,1,1,1,1,Chest Press;Hammer Curl;Row;Burpees;Leg Curls,12
1,1,1,1,0,0,Squat;Push-Ups;Bicep Curl;Burpees;Pull-Ups,4
1,1,1,0,0,1,Leg Press;Pec Deck;Clean and Press;Row;Bicep Curl,5
0,0,0,0,0,1,Deadlift;Leg Press;Tricep Extension;Pec Deck;Row,9
0,1,0,0,0,1,Leg Press;Clean and Press;Dumbbell Curl;Cable Row;Pec Deck,8
1,0,0,1,0,1,Tricep Extension;Running;Lat Pulldown;Lunges;Push-Ups,6
0,1,0,0,1,1,Squat;Cable Row;Clean and Press;Dumbbell Curl;Bench Press,11
